titulo,precio,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion,publicacion_mes,publicacion_dia_semana,antiguedad_dias,zona_Cala Sant Francesc - Santa Cristina,zona_Centre,zona_Els Pavos,zona_Els Pins,zona_La Plantera,zona_Mont Ferrant - Sant Joan,zona_Semicentre,zona_Urbanitzacions,tipo_casa,tipo_estudio,tipo_otro,tipo_piso,precio_m2,ratio_habitaciones_baños,n_extras,zona
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,1250000,carrer de sant francesc,41.68812440873454,2.8021213149376165,455,4,5,1986.0,1,0,1,0,1,1,1,0,1,0,2025-03-13,3,3,27,1,0,0,0,0,0,0,0,1,0,0,0,2747.252747252747,0.8,5,Cala Sant Francesc - Santa Cristina
Piso en venta en La Plantera,125000,carrer béjar,41.66839367930616,2.775473038042611,53,1,1,1992.0,0,0,1,1,0,0,0,0,1,0,2025-03-20,3,3,20,0,0,0,0,1,0,0,0,0,0,0,1,2358.490566037736,1.0,2,La Plantera
Piso en venta en avenida Catalunya,108000,avinguda catalunya,41.68368089969945,2.7928017639573333,74,4,2,1986.0,0,0,0,1,0,0,0,1,0,0,2025-02-27,2,3,41,0,0,0,0,1,0,0,0,0,0,0,1,1459.4594594594594,2.0,1,La Plantera
Piso en venta en La Plantera,135000,carrer béjar,41.66839367930616,2.775473038042611,70,3,1,1986.0,0,1,0,1,0,0,1,0,1,0,2025-04-03,4,3,6,0,0,0,0,1,0,0,0,0,0,0,1,1928.5714285714287,3.0,3,La Plantera
Piso en venta en calle del Pare Puig,129000,carrer del pare puig,41.67813362601008,2.7861791900755626,76,3,1,1976.0,0,0,0,1,0,0,0,0,1,0,2025-03-18,3,1,22,0,0,0,0,0,0,1,0,0,0,0,1,1697.3684210526317,3.0,1,Semicentre
Dúplex en venta en calle de la Vila de Lloret,350000,carrer de la vila de lloret,41.688336306084,2.801692710651307,190,5,2,1986.0,1,0,0,1,0,0,0,0,1,0,2025-02-12,2,2,56,0,0,0,0,0,1,0,0,0,0,0,1,1842.1052631578948,2.5,2,Mont Ferrant - Sant Joan
Casa o chalet en venta en Centre,395000,carrer ample,41.67454693196272,2.791958077322335,127,4,4,1964.0,1,0,0,0,0,0,1,0,1,0,2025-03-27,3,3,13,0,1,0,0,0,0,0,0,1,0,0,0,3110.236220472441,1.0,2,Centre
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,1470000,carrer de sant francesc,41.68812440873454,2.8021213149376165,292,4,2,2000.0,1,0,1,0,1,1,0,0,1,0,2025-04-03,4,3,6,1,0,0,0,0,0,0,0,1,0,0,0,5034.246575342466,2.0,4,Cala Sant Francesc - Santa Cristina
Casa o chalet en venta en Mont Ferrant - Sant Joan,3200000,carrer mas vaixeller,41.67847922230874,2.779174254327162,400,4,3,1981.0,1,0,1,0,1,1,0,0,1,0,2025-03-13,3,3,27,0,0,0,0,0,1,0,0,1,0,0,0,8000.0,1.3333333333333333,4,Mont Ferrant - Sant Joan
Chalet adosado en venta en travesía Antiga,570000,carrer travesía antiga,41.67515087937438,2.7913095396285685,421,5,4,2008.0,1,0,1,0,0,0,0,0,1,0,2024-12-04,12,2,126,0,1,0,0,0,0,0,0,1,0,0,0,1353.9192399049882,1.25,2,Centre
